distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,time
28.0,5.0,26,21.5,12,E10,0,0,0,64.62
12.0,4.2,30,21.5,13,E10,0,0,0,24.0
11.2,5.5,38,21.5,15,E10,0,0,0,17.68
12.9,3.9,36,21.5,14,E10,0,0,0,21.5
18.5,4.5,46,21.5,15,E10,0,0,0,24.13
8.3,6.4,50,21.5,10,E10,0,0,0,9.96
7.8,4.4,43,21.5,11,E10,0,0,0,10.88
12.3,5.0,40,21.5,6,E10,0,0,0,18.45
4.9,6.4,26,21.5,4,E10,0,0,0,11.31
11.9,5.3,30,21.5,9,E10,0,0,0,23.8
12.4,5.6,42,21.5,4,E10,0,0,0,17.71
11.8,4.6,38,21.5,0,E10,0,0,0,18.63
12.3,5.9,59,21.5,10,E10,0,0,0,12.51
24.7,5.1,58,21.5,12,E10,0,0,0,25.55
12.4,4.7,46,21.5,11,E10,0,0,0,16.17
17.3,5.1,24,21.5,5,E10,0,0,0,43.25
33.4,5.6,36,21.5,3,E10,0,0,0,55.67
11.8,5.1,32,21.5,3,E10,0,0,0,22.12
25.9,4.9,39,21.5,8,E10,0,0,0,39.85
11.8,4.7,40,21.5,4,E10,0,0,0,17.7
25.3,5.5,32,21.5,3,E10,0,0,0,47.44
14.2,5.9,38,21.5,1,E10,0,0,0,22.42
17.9,5.7,37,21.5,1,E10,0,0,0,29.03
11.8,4.7,36,21.5,1,E10,0,0,0,19.67
12.3,5.9,62,21.5,6,E10,0,0,0,11.9
12.4,4.1,57,21.5,9,E10,0,0,0,13.05
18.4,5.7,21,22.5,2,E10,0,0,0,52.57
18.4,5.8,28,21.5,3,E10,0,0,0,39.43
18.3,5.5,29,21.5,1,E10,0,0,0,37.86
18.4,5.7,35,21.5,4,E10,0,0,0,31.54
12.3,5.3,51,21.5,11,E10,0,0,0,14.47
11.8,5.0,29,21.5,10,E10,0,0,0,24.41
12.3,5.6,58,21.5,8,E10,0,0,0,12.72
32.6,4.8,40,21.5,7,E10,0,0,0,48.9
19.0,4.3,36,21.5,7,E10,0,0,0,31.67
12.1,5.7,36,21.5,8,E10,0,0,0,20.17
20.0,5.2,37,21.5,4,E10,0,0,0,32.43
4.9,7.4,26,21.5,6,E10,0,0,0,11.31
